mass,count,width,height,length
2.0,10,300,310,200
42.0,9,800,600,1200
5.0,2,300,360,300
2.0,10,300,310,200
2.0,10,300,310,200
10.0,2,340,450,230
80.0,3,800,1300,1200
2.0,10,300,310,200
218.0,2,1010,860,1560
2.0,10,300,310,200
52.0,3,600,1020,800
100.0,7,800,1400,1200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
5.0,8,800,2175,1200
2.0,10,300,310,200
10.0,2,340,450,230
200.0,2,1220,980,970
60.0,6,650,700,500
2.0,10,300,310,200
23.0,10,400,730,450
2.0,10,300,310,200
10.0,1,400,600,650
30.0,5,800,200,600
65.0,2,775,900,870
2.0,10,300,310,200
2.0,10,300,310,200
10.0,10,60,60,2040
2.0,10,300,310,200
78.0,9,910,560,1250
189.0,1,840,1600,1540
19.0,8,480,340,920
2.0,10,300,310,200
298.0,6,800,1620,1200
70.0,9,800,1100,1200
10.0,6,340,450,230
100.0,5,1200,1700,1070
2.0,10,300,310,200
2.0,10,300,310,200
986.0,10,700,250,700
100.0,3,1200,1700,1070
250.0,6,1300,1450,1550
2.0,10,300,310,200
269.0,10,800,1500,2300
5.0,7,924,2000,1358
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
30.0,6,800,700,1200
6.0,10,300,300,400
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
5.0,10,889,2000,1484
2.0,10,300,310,200
126.0,9,800,1270,1200
2.0,10,300,310,200
10.0,5,60,60,2040
6.0,10,300,300,400
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
250.0,4,680,1310,1300
160.0,2,1240,1400,1300
2.0,10,300,310,200
548.0,2,1800,250,800
2.0,10,300,310,200
2.0,10,300,310,200
14.0,10,300,800,450
2.0,10,300,310,200
6.0,10,300,300,400
51.0,1,800,900,1200
10.0,5,60,60,2040
5.0,8,800,600,1200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
233.0,9,800,1670,1200
10.0,6,340,450,230
2.0,10,300,310,200
140.0,2,1080,1080,1760
159.0,7,800,1500,1200
10.0,5,60,60,2040
75.0,10,800,1150,1200
70.0,1,600,1150,600
60.0,10,600,1600,1500
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
75.0,5,800,1150,1200
2.0,10,300,310,200
332.0,6,1750,1270,1800
2.0,10,300,310,200
2.0,10,300,310,200
100.0,1,1177,1176,1234
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
120.0,7,800,900,1250
75.0,10,800,1150,1200
2.0,10,300,310,200
2.0,10,300,310,200
80.0,6,450,1700,610
2.0,10,300,310,200
220.0,5,1320,1580,1410
50.0,7,800,620,1200
51.0,10,400,1050,900
6.0,10,300,300,400
2.0,10,300,310,200
2.0,10,300,310,200
70.0,5,960,1100,1140
2.0,10,300,310,200
5.0,2,975,2000,1106
10.0,2,340,450,230
2.0,10,300,310,200
70.0,9,800,1100,1200
2.0,10,300,310,200
50.0,7,800,620,1200
6.0,10,300,300,400
2.0,10,300,310,200
10.0,2,340,450,230
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
170.0,5,1150,1850,1150
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
180.0,2,800,1600,1200
10.0,10,60,60,2040
170.0,5,1150,1850,1150
126.0,9,800,1270,1200
70.0,7,1150,1350,600
51.0,4,400,1050,900
170.0,2,1150,1850,1150
2.0,10,300,310,200
2.0,10,300,310,200
2.0,10,300,310,200
60.0,3,600,1600,1500
2.0,10,300,310,200
2.0,10,300,310,200
80.0,3,800,1300,1200
60.0,3,600,1600,1500
10.0,2,340,450,230
2.0,10,300,310,200
2.0,10,300,310,200
100.0,7,800,1400,1200
2.0,10,300,310,200
10.0,2,340,450,230
2.0,10,300,310,200
10.0,6,340,450,230
2.0,10,300,310,200
80.0,5,450,500,1050
2.0,10,300,310,200
2.0,10,300,310,200
233.0,3,1100,1580,2370
10.0,4,600,200,250
2.0,10,300,310,200
220.0,8,1320,1580,1410
2.0,10,300,310,200
2.0,10,300,310,200
